,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Item_Identifier_Categories_FD,Item_Identifier_Categories_NC,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049
6745,9.5,0,0.085223447,189.2872,2,0,1,6050.7904,24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6168,11.8,0,0.11350542,186.8924,2,0,1,2961.4784,24,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
5390,17.6,0,0.018943666,237.359,2,1,1,6145.334,21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3357,12.15,0,0.026010729,119.144,2,1,1,2157.192,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
8241,10.8,0,0.097805615,73.938,2,2,0,73.238,25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6559,19.7,0,0.0,125.9362,2,0,1,1635.8706,24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3312,15.7,0,0.122684413,132.2942,2,0,1,2252.4014,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3077,4.59,0,0.070767174,111.986,1,1,1,792.302,19,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
3352,11.3,1,0.054637635,93.3094,2,0,1,3046.7008,24,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1133,10.1,1,0.053574075,223.7088,1,1,1,2684.5056,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4080,7.145,0,0.017822936,161.3578,2,1,1,1123.2046,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2629,15.25,0,0.026651184,86.6198,2,0,1,1657.1762,24,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
5488,16.0,1,0.106752081,181.4634,1,0,1,1090.5804,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
839,16.7,1,0.060863167,97.6384,1,1,1,2857.6136,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1846,16.1,1,0.159595473,32.8558,3,2,1,339.558,36,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
8365,7.52,0,0.092272132,128.7994,2,2,0,128.4994,25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3861,11.0,1,0.057011062,241.9512,3,2,1,2908.2144,36,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
6890,6.035,0,0.141542481,153.1998,2,1,1,1537.998,21,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
6146,8.18,0,0.013130031,142.6154,1,0,1,709.077,26,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
5726,21.1,0,0.0,233.2958,2,2,2,2103.2622,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
4344,12.35,1,0.038500421,110.757,1,0,1,1208.427,26,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1893,15.6,0,0.0,220.4798,2,2,2,661.1394,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
6845,15.2,0,0.021240491,216.9824,2,0,1,4804.4128,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7061,9.195,0,0.080442371,107.7622,2,2,0,105.8622,25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6315,12.3,0,0.0,37.2874,3,2,1,705.748,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
6892,6.675,0,0.021710275,34.9874,2,1,1,247.0118,21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
5962,17.6,1,0.039443715,95.841,2,1,1,1641.197,16,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
2574,12.35,0,0.093278912,118.7124,1,1,1,2607.2728,19,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
7437,12.857645184135976,0,0.129783577,78.2328,2,2,3,1004.0264,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8325,14.15,0,0.03593692,41.0138,1,1,1,771.6622,19,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
6285,8.315,1,0.035572183,144.4444,1,0,1,2902.888,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1545,18.25,0,0.132596101,226.2062,2,2,0,677.1186,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2025,11.395,1,0.069587171,234.6616,1,0,1,4687.232,26,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2878,8.26,1,0.032625074,124.673,2,1,1,1847.595,16,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
7917,12.5,1,0.109900843,83.0592,3,2,1,743.0328,36,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
6701,7.76,0,0.059472609,98.77,2,1,1,1298.31,21,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
1584,6.55,1,0.034658144,155.8288,2,0,1,1099.9016,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
3614,16.7,1,0.052401766,115.1176,1,1,1,1488.7288,19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
7165,12.857645184135976,0,0.03409886,162.621,1,0,0,815.605,38,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1777,6.78,0,0.066997921,186.524,2,1,1,2609.936,16,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
7430,21.25,0,0.024693927,144.1102,2,0,1,1749.7224,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4334,15.2,0,0.162462044,117.6492,2,2,0,347.5476,25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6,13.65,1,0.012741089,57.6588,3,2,1,343.5528,36,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
5987,5.615,0,0.125964559,124.773,2,0,1,2956.152,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4188,16.2,1,0.128397995,178.337,1,1,1,1411.496,19,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
8034,7.975,0,0.014631149,84.525,1,0,1,416.125,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
816,6.675,0,0.041886576,92.1462,3,2,1,1203.1006,36,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
7971,14.3,0,0.026362624,78.3302,2,0,1,1267.6832,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
4642,6.13,0,0.077169953,63.0536,2,1,1,1225.072,16,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7804,9.3,0,0.073288275,189.1846,2,2,0,382.1692,25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4086,8.6,1,0.054474158,131.031,1,1,1,1038.648,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1938,13.5,1,0.017844609,81.396,3,2,1,1198.44,36,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
8,16.2,1,0.016687114,96.9726,2,1,1,1076.5986,21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
8480,12.857645184135976,0,0.0,154.534,1,0,0,459.402,38,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
8286,20.7,0,0.039306822,150.7366,2,0,1,3325.0052,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
7791,12.857645184135976,1,0.10400212,79.796,2,2,3,4074.696,38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
6135,12.857645184135976,0,0.030944666,186.6582,2,2,3,3715.164,38,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
1178,6.365,0,0.007348286,62.8536,1,0,1,796.2968,26,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
4821,15.2,0,0.091745951,229.0352,1,1,1,2290.352,19,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
6158,17.85,1,0.046599684,125.1388,1,1,1,1981.4208,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
543,10.0,0,0.045818773,138.718,3,2,1,1398.18,36,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1744,14.65,0,0.01125332,57.0614,2,1,1,939.4438,16,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
7374,12.857645184135976,0,0.027570939,86.6198,2,2,3,2529.3742,38,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
5983,11.5,1,0.037563325,109.5254,1,1,1,1627.881,19,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
4673,7.405,0,0.015358176,92.4146,2,1,1,1459.4336,16,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1036,14.1,0,0.089859642,140.2496,2,1,1,1693.7952,21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1637,19.7,0,0.077849003,179.166,3,2,1,3056.022,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
299,6.15,0,0.04627095,99.3384,1,0,1,2364.9216,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1185,12.857645184135976,0,0.072864869,165.2526,1,0,0,822.263,38,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1865,12.857645184135976,0,0.056656942,106.2622,2,2,3,2328.9684,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2955,5.88,1,0.030247903,101.399,1,0,1,2063.98,26,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
4306,8.05,1,0.0,257.5646,3,2,1,5153.292,36,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
5162,12.857645184135976,0,0.119371835,45.2744,2,2,3,905.488,38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
9,19.2,1,0.09444959,187.8214,2,1,1,4710.535,16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
3228,16.75,1,0.008184912,101.2674,3,2,1,1528.011,36,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
7254,20.7,0,0.170072462,183.8266,2,0,1,1844.266,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2557,12.857645184135976,0,0.011206632,191.4188,2,2,3,3998.7948,38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
5626,15.6,0,0.172946916,114.1518,2,1,1,1821.6288,21,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4678,17.7,1,0.041098734,80.9276,2,2,2,487.3656,14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
4067,20.2,1,0.121748174,96.9752,2,2,2,1725.7536,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
7293,13.8,1,0.024660202,87.4172,2,2,0,178.4344,25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3463,8.185,0,0.038721734,115.8808,1,1,1,1523.3504,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
5845,12.6,0,0.007468056,186.9556,2,0,1,3379.6008,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
149,7.235,0,0.076841095,117.5492,1,1,1,1969.4364,19,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
4510,15.7,0,0.045203854,180.266,1,0,1,1617.894,26,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
